Gender,Weight,Body Shape Index,Waist,Hips,Bust/Chest,Height,Cup Size,BMI
0,67,1,55.88,113.54,93.64,147.32,7,30.87104866243027
0,44,4,59.36,74.78,106.83,178.88,0,13.750836050831891
0,64,1,67.42,77.84,121.09,175.54,4,20.769583422777764
0,76,2,96.3,89.87,105.32,179.15,6,23.67990562934451
0,81,3,61.13,102.0,85.11,178.97,7,25.28858576983992
0,74,1,62.22,79.35,116.97,161.49,1,28.37529926977586
0,107,3,66.39,70.94,116.93,195.53,2,27.987040556404967
0,87,3,91.17,89.22,102.57,176.03,6,28.076687916663897
0,58,1,57.67,90.67,78.15,153.16,6,24.72505567570985
0,66,4,91.66,111.78,113.76,155.91,0,27.151635354721986
0,69,4,55.88,87.83,108.27,166.02,7,25.033886085891826
0,101,3,94.05,79.04,121.92,153.52,1,42.854008392528996
0,44,1,75.91,118.14,114.89,159.42,0,17.312790228270874
0,72,1,95.58,107.48,113.69,147.32,0,33.174858264104174
0,49,1,93.41,99.38,109.84,153.1,0,20.904784678584672
0,61,3,70.58,69.82,94.71,150.57,5,26.9062351975733
0,86,2,69.79,93.35,104.14,150.72,5,37.85791400146952
0,98,4,74.36,107.35,90.25,187.66,2,27.82804209994313
0,62,4,101.09,79.99,106.8,188.35,0,17.476740607608484
0,50,2,85.02,98.02,120.48,190.55,1,13.770575736066531
0,66,4,70.64,66.57,119.05,161.34,0,25.35477905084892
0,96,3,61.97,66.52,115.84,182.68,1,28.766645879568728
0,55,1,57.53,58.72,108.05,174.6,3,18.041565141859188
0,69,1,55.88,76.77,92.2,152.29,2,29.75132535794585
0,79,4,65.29,87.45,84.03,168.4,4,27.857549889698202
0,85,1,57.46,114.51,100.94,149.12,0,38.22496845585661
0,52,3,58.15,80.23,97.94,164.56,7,19.202367906024914
0,72,1,66.57,109.97,110.66,184.91,2,21.057737095035623
0,76,4,58.15,68.94,121.92,147.32,2,35.01790594544329
0,82,4,70.31,108.02,98.43,158.7,0,32.55817092960328
0,79,0,64.87,84.84,111.34,173.8,6,26.15336332252327
0,81,2,68.17,75.13,94.92,175.03,1,26.439913701557924
0,90,0,89.09,72.63,115.43,154.37,3,37.76736635930339
0,69,3,74.62,84.22,106.54,169.72,1,23.954275745180716
0,82,4,60.65,55.88,114.64,156.33,4,33.55283310322841
0,76,4,65.51,95.28,94.67,147.32,2,35.01790594544329
0,47,1,80.05,109.79,109.98,155.37,5,19.469891281659816
0,100,0,60.57,125.56,102.02,158.22,2,39.94636258089358
0,54,4,61.08,75.21,85.13,178.56,5,16.936567811307665
0,92,3,72.19,86.89,88.93,169.39,0,32.06360068917364
0,85,1,91.69,77.96,110.21,170.03,3,29.401386830210512
0,60,1,60.72,89.55,121.05,155.41,7,24.842387369822216
0,74,0,85.71,108.67,114.14,163.7,0,27.614320488071925
0,99,2,64.09,101.95,76.78,172.82,1,33.147226278274566
0,42,0,67.27,96.87,112.48,150.13,4,18.634353124780702
0,71,3,67.55,107.62,108.67,183.99,0,20.97345168374442
0,71,3,59.32,71.41,78.67,150.22,2,31.463195833613472
0,92,1,79.91,66.14,121.92,170.67,3,31.58445957937417
0,50,1,96.53,88.61,84.15,170.71,7,17.15742383490995
0,67,4,101.54,105.47,121.92,163.75,7,24.986888875939634
0,91,3,63.72,70.11,103.17,194.3,1,24.104370334248152
0,64,3,55.88,100.69,110.91,156.59,0,26.100686227415416
0,60,3,68.83,92.53,86.27,163.05,6,22.568861121666753
0,45,1,55.88,78.28,121.92,175.48,3,14.613601566141629
0,103,1,61.55,116.53,121.5,147.92,5,47.07425205503334
0,66,1,58.73,122.16,83.36,164.64,2,24.348556582149733
0,77,1,63.93,114.84,112.02,168.72,3,27.049397229826965
0,58,4,55.93,99.11,84.11,149.65,2,25.898496424835354
0,77,4,98.57,84.63,100.07,193.54,1,20.556503747279773
0,68,2,64.82,88.23,111.2,163.04,1,25.58118034094116
0,106,4,57.2,78.02,121.92,183.84,5,31.363595391913808
0,62,4,83.95,98.72,107.55,153.43,4,26.337292039308373
0,85,4,59.25,97.53,106.63,167.05,6,30.459724137028978
0,65,1,56.72,78.04,111.82,154.58,6,27.202370453063097
0,53,3,89.69,105.15,97.94,149.77,7,23.627959078104624
0,68,4,57.43,101.48,111.0,171.16,0,23.21156147669442
0,77,0,64.5,82.83,94.56,151.76,6,33.43305705065486
0,76,1,64.03,88.06,116.47,163.82,7,28.3191196939043
0,60,3,61.87,95.96,81.83,171.85,4,20.316653671062713
0,79,1,86.09,92.93,104.37,147.32,2,36.40019170644763
0,71,1,76.59,101.16,110.57,189.76,2,19.717370872659956
0,62,1,105.57,102.8,87.93,151.71,1,26.937871245413078
0,96,4,86.49,92.23,110.05,176.24,2,30.90738519606305
0,65,2,55.88,79.9,115.38,174.72,2,21.2925715157858
0,72,1,65.04,81.06,83.7,176.14,7,23.206866953188104
0,74,1,78.88,73.33,114.97,189.29,5,20.652678159344347
0,46,3,83.0,99.43,101.23,166.95,0,16.503839250453026
0,68,2,55.88,55.88,85.11,150.6,5,29.981887412721846
0,64,4,86.82,70.55,77.59,168.35,1,22.581549163075746
0,59,4,65.16,69.89,92.02,180.44,1,18.12117584833271
0,84,4,61.62,81.16,121.92,183.84,0,24.854169933214713
0,71,1,95.45,94.11,97.4,184.31,7,20.900686470094573
0,73,2,99.51,69.11,114.56,179.56,2,22.641420296171113
0,64,4,64.39,91.1,117.35,163.05,4,24.073451863111206
0,76,4,94.09,74.22,121.78,177.74,3,24.057098180398327
0,68,1,62.99,104.59,119.8,177.34,1,21.62198214840822
0,49,3,65.68,88.14,112.77,186.31,5,14.116393251959547
0,41,3,82.96,111.73,84.31,162.52,1,15.52280598540014
0,103,1,62.29,82.22,86.9,147.55,2,47.31063716519255
0,67,4,58.95,68.04,102.94,155.18,5,27.82295847879411
0,77,4,91.2,100.12,99.74,197.72,7,19.696520917050368
0,69,4,86.4,76.55,99.82,155.26,7,28.623973890687846
0,85,4,94.29,72.96,109.75,176.54,1,27.272985476435768
0,85,1,62.43,88.66,74.22,180.23,3,26.167652287709007
0,41,1,55.88,79.54,121.85,159.93,0,16.02964787371471
0,70,3,101.82,84.64,113.67,157.19,6,28.330106824212383
0,53,3,55.88,98.04,99.49,147.32,7,24.420381777743348
0,80,1,68.71,90.46,121.92,160.33,3,31.121491459821204
0,74,4,94.05,81.9,112.8,172.24,7,24.943861480184378
0,63,2,55.88,84.62,92.95,170.42,0,21.69199159628832
0,69,4,57.77,73.02,121.92,164.67,3,25.44603497283133
0,101,3,87.57,105.53,76.93,172.3,3,34.0212932874641
0,67,2,79.66,97.62,86.37,181.27,0,20.39026796369749
0,59,1,69.73,68.82,121.92,193.31,1,15.78859083297129
0,69,1,105.8,81.93,78.32,188.91,0,19.33477821290276
0,80,1,95.89,125.69,80.87,190.74,1,21.98904815666414
0,56,2,55.88,57.92,80.63,170.99,7,19.153431921679452
0,49,4,55.88,56.12,109.67,157.4,4,19.77819361317728
0,46,1,92.53,102.51,100.83,147.32,6,21.195048335399886
0,58,4,56.17,95.17,97.13,178.51,3,18.201320354532477
0,49,4,62.48,114.43,111.96,160.78,7,18.955359756403354
0,47,1,61.42,112.74,105.49,147.32,5,21.655810255734668
0,75,1,77.35,86.3,112.96,163.5,2,28.055999775552003
0,89,4,57.12,77.78,110.81,150.16,0,39.47130519489919
0,69,4,104.26,94.68,75.95,158.81,6,27.358570356257076
0,57,2,58.48,62.38,118.02,177.64,4,18.06314327289757
0,70,0,87.58,93.92,95.02,170.79,6,23.997895782219317
0,73,2,95.65,92.01,121.92,153.12,6,31.13572761448666
0,84,3,61.95,103.55,112.97,190.34,1,23.18564361729207
0,88,0,59.41,81.35,81.73,193.88,0,23.410821307371787
0,44,1,61.54,119.75,119.61,167.7,1,15.645395684502066
0,65,3,69.28,69.32,91.95,185.58,7,18.873437873131493
0,77,4,56.17,81.03,113.55,158.51,1,30.646253751593992
0,76,1,67.98,55.88,83.21,187.46,7,21.627004315349996
0,61,1,62.97,75.04,111.19,153.81,1,25.784617346197216
0,48,3,100.05,112.88,121.18,171.16,7,16.384631630607824
0,53,1,62.3,78.16,109.73,185.41,7,15.417343966828675
0,76,4,67.96,116.35,113.39,175.16,5,24.771010262447028
0,66,4,65.95,112.54,90.42,183.24,5,19.65637230284194
0,78,4,100.24,99.38,104.29,148.84,0,35.20912886403939
0,90,3,106.68,110.98,76.02,169.4,5,31.362862746355287
0,101,4,70.24,93.95,112.62,170.58,1,34.71084239282882
0,70,1,60.41,78.43,109.35,159.61,1,27.47753975106
0,58,0,62.54,79.21,81.49,155.94,6,23.85134826490242
0,72,1,66.32,84.55,119.22,149.98,5,32.008535040303464
0,97,4,60.67,97.27,108.51,154.98,0,40.38503105259163
0,69,3,70.49,85.47,109.74,178.1,4,21.753104782814166
0,80,1,71.28,69.21,85.17,151.86,1,34.68991182153968
0,62,2,58.83,100.22,111.59,160.07,3,24.19757249250245
0,56,4,78.88,100.17,111.62,167.71,5,19.90994723753766
0,73,1,97.53,125.49,121.92,162.79,7,27.546562643500376
0,48,1,91.89,103.55,111.84,157.15,7,19.43624955699017
0,58,1,93.81,89.6,83.39,148.21,7,26.404197892343173
0,67,1,67.18,119.66,105.62,158.83,7,26.55887842316244
0,70,4,100.23,106.73,85.07,151.21,6,30.61519381947815
0,70,1,63.55,76.76,111.63,179.63,7,21.694033188505106
0,67,1,72.52,75.25,109.06,151.8,0,29.075772330627114
0,46,4,60.03,76.97,76.88,147.98,6,21.006407484009422
0,62,4,93.92,81.85,99.23,158.92,5,24.549043572430037
0,74,1,58.47,97.04,102.85,147.32,0,34.09638210477373
0,90,0,65.48,91.98,110.71,167.33,2,32.143627556730465
0,70,3,66.8,98.24,103.03,190.88,4,19.21220390810041
0,82,4,61.1,66.64,98.87,153.16,7,34.95611319669323
0,64,4,70.72,94.45,100.95,180.13,0,19.724585063997452
0,77,4,85.61,75.21,96.74,187.61,0,21.876546211912515
0,68,1,77.54,78.46,103.75,170.58,3,23.369676066459007
0,77,1,71.22,98.39,109.25,190.33,1,21.255740040135084
0,87,4,57.65,69.27,113.87,152.54,0,37.3896817440143
0,92,0,64.34,102.44,111.46,150.87,3,40.41867260255292
0,64,2,69.56,87.79,121.92,170.78,2,21.943502858641835
0,66,2,94.03,88.18,105.66,147.32,2,30.41028674209549
0,59,1,62.77,78.11,100.6,183.85,5,17.45519654144511
0,59,1,61.58,81.09,113.92,167.46,4,21.039229833530907
0,73,0,88.08,77.81,112.6,171.5,0,24.81959047675713
0,49,4,99.99,108.24,97.94,148.07,4,22.349197184225563
0,73,1,84.78,78.23,95.93,166.98,6,26.18146515524583
0,83,3,76.97,97.32,99.31,167.35,0,29.636482652972234
0,41,4,74.86,99.97,115.76,152.7,1,17.58351849636043
0,82,4,63.06,92.19,121.92,170.8,4,28.10852908752858
0,58,1,65.33,96.35,87.27,189.39,1,16.170144671022463
0,71,1,96.72,88.79,114.19,186.49,0,20.4148997127684
0,45,3,55.88,69.71,110.68,156.11,0,18.46507458960725
0,43,3,55.88,100.67,104.88,152.52,2,18.484804527748835
0,79,1,64.63,86.69,113.33,158.37,4,31.497875195203594
0,98,4,64.34,84.27,117.06,171.07,0,33.48716368162375
0,62,1,62.6,59.6,111.66,174.32,6,20.40315153133682
0,67,3,58.57,110.66,112.02,165.71,1,24.399300066383212
0,100,1,57.93,86.07,113.21,174.0,6,33.029462280354075
0,69,0,80.96,104.11,114.17,174.94,1,22.546069756703336
0,43,3,71.56,78.47,119.83,175.72,4,13.925989596366009
0,69,3,98.43,112.83,108.27,184.7,6,20.22624669161628
0,47,2,89.43,79.39,120.07,159.67,4,18.435342365037677
0,78,1,57.17,92.0,121.92,153.94,2,32.914831657768666
0,65,0,83.57,93.5,121.92,161.56,6,24.902655901199996
0,55,1,61.91,65.37,75.35,162.36,6,20.864337739213802
0,49,3,86.45,95.49,120.3,165.42,1,17.90688510376806
0,66,1,55.88,101.0,84.14,183.88,1,19.519781204310405
0,64,1,89.27,89.61,80.54,170.01,7,22.142723616796907
0,90,0,90.34,105.25,109.96,183.57,3,26.707860157964713
0,93,4,104.45,76.24,100.7,186.0,7,26.881720430107524
0,86,3,92.4,74.34,100.13,166.13,1,31.160349568251075
0,65,0,106.68,98.29,108.6,176.15,1,20.948265117053666
0,67,4,96.29,117.35,84.34,165.79,7,24.375758561327597
0,77,4,69.46,91.65,94.32,168.07,4,27.25902544473906
0,45,1,59.42,87.71,78.5,190.26,3,12.431328100440359
0,61,3,74.87,83.8,116.93,178.31,3,19.18573471052395
0,56,4,60.03,82.21,111.55,168.67,6,19.683953805008272
0,59,4,55.88,105.57,121.92,185.03,4,17.233270860000296
0,73,0,71.16,81.72,121.63,181.09,5,22.26044913944626
0,57,4,55.88,69.75,121.92,184.0,0,16.836011342155007
0,75,3,69.27,119.82,86.52,161.28,0,28.833690594293273
0,84,3,61.26,114.36,112.29,150.67,1,37.002043512738084
0,55,4,60.25,83.35,117.31,151.33,5,24.01666085543529
0,66,4,83.7,81.21,100.85,154.91,3,27.503314034744047
0,69,1,90.0,119.3,92.36,182.99,2,20.606032309643464
0,87,1,90.46,105.72,117.55,176.03,7,28.076687916663897
0,73,1,59.74,88.17,89.6,183.16,2,21.760135250985098
0,67,2,86.23,76.96,104.11,164.4,5,24.789694590962636
0,70,3,59.56,81.17,121.92,154.84,7,29.19656199971691
0,90,1,61.74,73.21,115.03,181.36,5,27.36273441715381
0,87,4,64.09,81.23,109.7,157.07,6,35.264096813581205
0,58,3,102.46,115.74,111.15,152.23,4,25.028077943424194
0,79,3,80.89,77.34,80.11,182.22,4,23.79222217439684
0,74,1,55.88,90.8,107.77,158.3,0,29.530438100011605
0,53,2,88.94,72.27,76.9,165.1,0,19.44382586990026
0,57,1,71.5,119.31,112.36,189.32,4,15.903102718776585
0,79,1,61.59,84.41,102.23,188.04,0,22.34223452481812
0,73,3,100.23,104.16,102.18,167.49,7,26.022264985002387
0,66,3,61.12,71.83,89.83,150.92,3,28.976794610161665
0,82,1,72.29,107.92,105.83,147.32,1,37.782477467451976
0,90,2,74.04,74.9,112.14,175.28,7,29.293939503145626
0,56,1,60.34,93.87,110.51,158.47,7,22.299437653179464
0,41,4,97.01,107.23,117.51,191.31,5,11.202333901895495
0,50,4,65.11,84.88,110.58,195.99,1,13.016738450464699
0,56,3,79.5,91.33,112.06,179.67,3,17.347499809711866
0,50,4,62.72,89.52,97.62,198.12,6,12.738355522733398
0,55,1,64.11,69.69,117.27,170.58,1,18.90194387728302
0,58,4,77.7,95.45,112.98,148.64,2,26.251649689875684
0,71,3,61.74,78.97,113.44,172.53,3,23.852236349901812
0,73,2,60.18,110.75,121.92,152.22,7,31.50499571696057
0,46,3,96.3,102.04,111.13,155.02,0,19.14178203099667
0,113,1,56.9,64.11,84.01,180.68,3,34.614517296696626
0,58,4,92.82,77.1,94.62,150.32,4,25.6681435467384
0,53,4,91.74,85.82,82.91,171.88,5,17.940113221205415
0,67,2,71.91,84.52,108.93,178.18,2,21.103616856289065
0,71,4,66.3,62.36,112.82,171.93,5,24.01900554219608
0,51,2,97.17,112.78,73.8,150.52,1,22.51032455897948
0,88,0,93.31,87.99,114.98,183.94,1,26.009398448839676
0,46,1,63.29,84.76,118.3,183.85,4,13.609136286550424
0,54,2,75.97,90.51,89.84,175.07,6,17.61855539793728
0,110,4,61.54,103.65,121.92,179.12,4,34.285029226304324
0,56,0,55.88,62.08,80.28,148.2,1,25.49714887238859
0,79,4,64.01,79.84,111.48,167.65,2,28.107354796382225
0,69,1,88.37,118.2,113.9,148.07,0,31.471318483909464
0,79,3,55.88,89.45,88.07,147.32,0,36.40019170644763
0,69,1,66.52,117.76,121.92,152.9,5,29.514410945825652
0,67,2,64.96,100.16,108.4,182.77,0,20.056954026009777
0,68,0,63.81,87.75,90.61,193.86,0,18.09391292138368
0,80,1,99.93,93.08,97.2,173.97,2,26.43268375706858
0,53,4,59.05,117.94,115.43,147.82,5,24.255457674766387
0,71,4,67.35,106.78,104.82,151.17,7,31.068989088479146
0,57,4,90.65,89.95,120.94,171.16,4,19.456750061346792
0,60,4,62.34,62.52,78.5,188.74,6,16.84315126422054
0,61,4,80.64,99.22,94.05,168.14,3,21.576835415111223
0,89,0,60.98,61.2,116.12,192.04,3,24.13273878363448
0,50,4,81.19,101.9,83.71,164.6,6,18.454842476846554
0,52,3,61.95,68.52,88.49,190.77,2,14.288386331719739
0,58,3,56.11,70.96,92.88,181.63,6,17.581374611838488
0,73,3,58.47,106.68,110.24,172.42,1,24.555431977073813
0,78,4,74.65,79.44,79.99,184.15,7,23.001235063112215
0,84,4,92.54,118.9,109.71,170.96,2,28.7402318794754
0,47,4,63.19,90.37,114.92,171.17,0,16.041410649023565
0,51,4,84.49,69.2,110.27,158.25,3,20.364921422849143
0,84,4,58.54,81.73,107.59,172.43,1,28.252288320158588
0,81,4,60.86,90.98,94.1,151.96,7,35.07732358600624
0,47,1,78.05,100.32,112.48,188.26,5,13.261167152678098
0,84,0,70.13,127.0,111.92,181.33,1,25.547003233268264
0,69,4,100.11,77.22,85.54,175.41,3,22.425410087867924
0,85,0,67.28,83.85,100.94,178.05,4,26.812355543505763
0,62,2,87.6,81.97,113.62,179.63,5,19.21471510981881
0,73,4,86.52,111.16,116.76,176.08,1,23.545222618854215
0,56,4,100.19,92.82,116.54,185.33,6,16.304090432221404
0,87,3,71.74,103.92,96.65,188.94,6,24.370892307111028
0,49,1,94.64,89.58,118.92,192.04,2,13.286564049416736
0,98,1,96.06,116.35,93.91,162.61,7,37.06223249175504
0,70,1,64.76,93.67,113.08,184.61,1,20.53939255820426
0,63,4,79.99,108.98,108.21,175.87,5,20.368405022849966
0,76,4,72.64,98.29,95.08,156.67,4,30.962919626343236
0,62,0,63.51,91.79,116.81,189.7,0,17.228879269740062
0,65,1,92.25,89.17,99.1,153.59,7,27.554179029785224
0,71,3,58.24,96.56,107.77,160.86,1,27.438617146872613
0,63,1,58.71,110.32,88.12,156.6,0,25.68958177360873
0,54,3,62.83,103.67,106.43,147.32,7,24.881143698078127
0,41,3,62.98,87.99,114.46,165.67,0,14.938125791108115
0,83,1,57.66,96.83,73.49,172.91,0,27.761176724169175
0,47,4,55.88,95.29,86.08,185.34,0,13.682313609131281
0,77,0,64.12,79.9,115.29,167.84,3,27.333785592706654
0,78,1,94.88,118.1,85.9,196.68,1,20.163884608975124
0,68,3,63.22,80.93,107.81,153.91,6,28.706168935863293
0,89,3,81.99,83.18,120.16,158.79,3,35.29748068276957
0,61,1,58.12,89.66,94.49,165.62,1,22.23843772947971
0,74,1,66.9,95.26,96.07,147.32,2,34.09638210477373
0,72,1,92.8,90.96,116.93,151.86,1,31.220920639385714
0,80,1,102.69,122.74,111.19,187.7,4,22.707087932346507
0,59,1,62.64,101.66,112.35,153.33,5,25.09560905998956
0,58,4,81.42,106.75,80.94,188.19,0,16.377021118177204
0,75,1,87.19,68.08,112.92,192.62,1,20.21429067121482
0,78,4,97.63,119.49,84.3,169.67,3,27.094708501040177
0,86,1,97.87,84.98,114.45,188.68,0,24.15720674195955
0,57,1,61.55,101.44,84.52,174.58,5,18.701906325340385
0,99,4,61.69,97.38,97.56,170.71,7,33.9716991931217
0,78,1,60.19,83.42,118.41,184.43,0,22.93144753419012
0,58,2,55.88,100.95,107.9,156.86,0,23.57238752634437
0,80,1,60.12,82.3,114.43,171.42,0,27.224944648624724
0,70,4,66.16,77.51,108.31,172.5,0,23.52446964923335
0,46,2,66.75,94.5,108.71,159.77,4,18.02052176234795
0,90,1,82.11,82.38,105.11,152.34,3,38.78060740048779
0,56,1,57.12,112.64,109.52,172.92,1,18.728266181529662
0,88,4,76.07,103.25,119.17,173.37,6,29.277552861295405
0,72,4,55.88,87.1,103.87,171.81,0,24.391337794448038
0,91,2,63.16,109.55,114.02,154.41,3,38.167221595000555
0,73,1,56.36,105.15,100.76,154.1,1,30.740971103066055
0,41,2,102.15,103.35,117.43,154.18,3,17.247564353649373
0,72,4,105.9,89.85,114.13,165.97,6,26.13805746581898
0,53,4,59.27,93.45,109.51,169.54,6,18.43875152591106
0,117,0,55.88,69.7,106.2,163.2,6,43.928416955017305
0,61,1,91.62,105.93,113.86,158.23,6,24.364201289218535
0,87,4,89.12,73.41,90.31,177.33,2,27.666538417950818
0,56,1,63.69,78.74,81.68,173.84,7,18.53056240362784
0,84,4,68.95,76.46,97.57,179.21,0,26.15500494032236
0,54,3,85.62,114.92,114.29,154.92,3,22.49980650166409
0,97,4,62.85,108.95,113.67,172.61,7,32.55665888207864
0,87,1,101.25,119.09,107.24,147.32,0,40.08628706912587
0,56,3,68.21,84.59,105.73,149.15,4,25.17337883721241
0,55,4,92.21,101.14,111.56,172.98,3,18.381074866706125
0,67,1,70.95,100.82,103.08,157.36,7,27.057402918361397
0,47,1,56.62,87.67,110.0,184.55,0,13.799703614663533
0,74,4,78.09,67.22,108.67,165.14,3,27.134833383102535
