Gender,Weight,Body Shape Index,Waist,Hips,Bust/Chest,Height,Cup Size
Female,100,0,60.57,125.56,102.02,158.22,B
Female,54,4,61.08,75.21,85.13,178.56,DD
Female,92,3,72.19,86.89,88.93,169.39,A
Female,85,1,91.69,77.96,110.21,170.03,C
Female,60,1,60.72,89.55,121.05,155.41,F
Female,74,0,85.71,108.67,114.14,163.7,A
Female,99,2,64.09,101.95,76.78,172.82,AA
Female,42,0,67.27,96.87,112.48,150.13,D
Female,71,3,67.55,107.62,108.67,183.99,A
Female,71,3,59.32,71.41,78.67,150.22,B
Female,92,1,79.91,66.14,121.92,170.67,C
Female,50,1,96.53,88.61,84.15,170.71,F
Female,67,4,101.54,105.47,121.92,163.75,F
Female,91,3,63.72,70.11,103.17,194.3,AA
Female,64,3,55.88,100.69,110.91,156.59,A
Female,60,3,68.83,92.53,86.27,163.05,E
Female,45,1,55.88,78.28,121.92,175.48,C
Female,103,1,61.55,116.53,121.5,147.92,DD
Female,66,1,58.73,122.16,83.36,164.64,B
Female,77,1,63.93,114.84,112.02,168.72,C
Female,58,4,55.93,99.11,84.11,149.65,B
Female,77,4,98.57,84.63,100.07,193.54,AA
Female,68,2,64.82,88.23,111.2,163.04,AA
Female,106,4,57.2,78.02,121.92,183.84,DD
Female,62,4,83.95,98.72,107.55,153.43,D
Female,85,4,59.25,97.53,106.63,167.05,E
Female,65,1,56.72,78.04,111.82,154.58,E
Female,53,3,89.69,105.15,97.94,149.77,F
Female,68,4,57.43,101.48,111.0,171.16,A
Female,77,0,64.5,82.83,94.56,151.76,E
Female,76,1,64.03,88.06,116.47,163.82,F
Female,60,3,61.87,95.96,81.83,171.85,D
Female,79,1,86.09,92.93,104.37,147.32,B
Female,71,1,76.59,101.16,110.57,189.76,B
Female,62,1,105.57,102.8,87.93,151.71,AA
Female,96,4,86.49,92.23,110.05,176.24,B
Female,65,2,55.88,79.9,115.38,174.72,B
Female,72,1,65.04,81.06,83.7,176.14,F
Female,74,1,78.88,73.33,114.97,189.29,DD
Female,46,3,83.0,99.43,101.23,166.95,A
Female,68,2,55.88,55.88,85.11,150.6,DD
Female,64,4,86.82,70.55,77.59,168.35,AA
Female,59,4,65.16,69.89,92.02,180.44,AA
Female,84,4,61.62,81.16,121.92,183.84,A
Female,71,1,95.45,94.11,97.4,184.31,F
Female,73,2,99.51,69.11,114.56,179.56,B
Female,64,4,64.39,91.1,117.35,163.05,D
Female,76,4,94.09,74.22,121.78,177.74,C
Female,68,1,62.99,104.59,119.8,177.34,AA
Female,49,3,65.68,88.14,112.77,186.31,DD
Female,41,3,82.96,111.73,84.31,162.52,AA
Female,103,1,62.29,82.22,86.9,147.55,B
Female,67,4,58.95,68.04,102.94,155.18,DD
Female,77,4,91.2,100.12,99.74,197.72,F
Female,69,4,86.4,76.55,99.82,155.26,F
Female,85,4,94.29,72.96,109.75,176.54,AA
Female,85,1,62.43,88.66,74.22,180.23,C
Female,41,1,55.88,79.54,121.85,159.93,A
Female,70,3,101.82,84.64,113.67,157.19,E
Female,53,3,55.88,98.04,99.49,147.32,F
Female,80,1,68.71,90.46,121.92,160.33,C
Female,74,4,94.05,81.9,112.8,172.24,F
Female,63,2,55.88,84.62,92.95,170.42,A
Female,69,4,57.77,73.02,121.92,164.67,C
Female,101,3,87.57,105.53,76.93,172.3,C
Female,67,2,79.66,97.62,86.37,181.27,A
Female,59,1,69.73,68.82,121.92,193.31,AA
Female,69,1,105.8,81.93,78.32,188.91,A
Female,80,1,95.89,125.69,80.87,190.74,AA
Female,56,2,55.88,57.92,80.63,170.99,F
Female,49,4,55.88,56.12,109.67,157.4,D
Female,46,1,92.53,102.51,100.83,147.32,E
Female,58,4,56.17,95.17,97.13,178.51,C
Female,49,4,62.48,114.43,111.96,160.78,F
Female,47,1,61.42,112.74,105.49,147.32,DD
Female,75,1,77.35,86.3,112.96,163.5,B
Female,89,4,57.12,77.78,110.81,150.16,A
Female,69,4,104.26,94.68,75.95,158.81,E
Female,57,2,58.48,62.38,118.02,177.64,D
Female,70,0,87.58,93.92,95.02,170.79,E
Female,73,2,95.65,92.01,121.92,153.12,E
Female,84,3,61.95,103.55,112.97,190.34,AA
Female,88,0,59.41,81.35,81.73,193.88,A
Female,44,1,61.54,119.75,119.61,167.7,AA
Female,65,3,69.28,69.32,91.95,185.58,F
Female,77,4,56.17,81.03,113.55,158.51,AA
Female,76,1,67.98,55.88,83.21,187.46,F
Female,61,1,62.97,75.04,111.19,153.81,AA
Female,48,3,100.05,112.88,121.18,171.16,F
Female,53,1,62.3,78.16,109.73,185.41,F
Female,76,4,67.96,116.35,113.39,175.16,DD
Female,66,4,65.95,112.54,90.42,183.24,DD
Female,78,4,100.24,99.38,104.29,148.84,A
Female,90,3,106.68,110.98,76.02,169.4,DD
Female,101,4,70.24,93.95,112.62,170.58,AA
Female,70,1,60.41,78.43,109.35,159.61,AA
Female,58,0,62.54,79.21,81.49,155.94,E
Female,72,1,66.32,84.55,119.22,149.98,DD
Female,97,4,60.67,97.27,108.51,154.98,A
Female,69,3,70.49,85.47,109.74,178.1,D
Female,80,1,71.28,69.21,85.17,151.86,AA
Female,62,2,58.83,100.22,111.59,160.07,C
Female,56,4,78.88,100.17,111.62,167.71,DD
Female,73,1,97.53,125.49,121.92,162.79,F
Female,48,1,91.89,103.55,111.84,157.15,F
Female,58,1,93.81,89.6,83.39,148.21,F
Female,67,1,67.18,119.66,105.62,158.83,F
Female,70,4,100.23,106.73,85.07,151.21,E
Female,70,1,63.55,76.76,111.63,179.63,F
Female,67,1,72.52,75.25,109.06,151.8,A
Female,46,4,60.03,76.97,76.88,147.98,E
Female,62,4,93.92,81.85,99.23,158.92,DD
Female,74,1,58.47,97.04,102.85,147.32,A
Female,90,0,65.48,91.98,110.71,167.33,B
Female,70,3,66.8,98.24,103.03,190.88,D
Female,82,4,61.1,66.64,98.87,153.16,F
Female,64,4,70.72,94.45,100.95,180.13,A
Female,77,4,85.61,75.21,96.74,187.61,A
Female,68,1,77.54,78.46,103.75,170.58,C
Female,77,1,71.22,98.39,109.25,190.33,AA
Female,87,4,57.65,69.27,113.87,152.54,A
Female,92,0,64.34,102.44,111.46,150.87,C
Female,64,2,69.56,87.79,121.92,170.78,B
Female,66,2,94.03,88.18,105.66,147.32,B
Female,59,1,62.77,78.11,100.6,183.85,DD
Female,59,1,61.58,81.09,113.92,167.46,D
Female,73,0,88.08,77.81,112.6,171.5,A
Female,49,4,99.99,108.24,97.94,148.07,D
Female,73,1,84.78,78.23,95.93,166.98,E
Female,83,3,76.97,97.32,99.31,167.35,A
Female,41,4,74.86,99.97,115.76,152.7,AA
Female,82,4,63.06,92.19,121.92,170.8,D
Female,58,1,65.33,96.35,87.27,189.39,AA
Female,71,1,96.72,88.79,114.19,186.49,A
Female,45,3,55.88,69.71,110.68,156.11,A
Female,43,3,55.88,100.67,104.88,152.52,B
Female,79,1,64.63,86.69,113.33,158.37,D
Female,98,4,64.34,84.27,117.06,171.07,A
Female,62,1,62.6,59.6,111.66,174.32,E
Female,67,3,58.57,110.66,112.02,165.71,AA
Female,100,1,57.93,86.07,113.21,174.0,E
Female,69,0,80.96,104.11,114.17,174.94,AA
Female,43,3,71.56,78.47,119.83,175.72,D
Female,69,3,98.43,112.83,108.27,184.7,E
Female,47,2,89.43,79.39,120.07,159.67,D
Female,78,1,57.17,92.0,121.92,153.94,B
Female,65,0,83.57,93.5,121.92,161.56,E
Female,55,1,61.91,65.37,75.35,162.36,E
Female,49,3,86.45,95.49,120.3,165.42,AA
Female,66,1,55.88,101.0,84.14,183.88,AA
Female,64,1,89.27,89.61,80.54,170.01,F
Female,90,0,90.34,105.25,109.96,183.57,C
Female,93,4,104.45,76.24,100.7,186.0,F
Female,86,3,92.4,74.34,100.13,166.13,AA
Female,65,0,106.68,98.29,108.6,176.15,AA
Female,67,4,96.29,117.35,84.34,165.79,F
Female,77,4,69.46,91.65,94.32,168.07,D
Female,45,1,59.42,87.71,78.5,190.26,C
Female,61,3,74.87,83.8,116.93,178.31,C
Female,56,4,60.03,82.21,111.55,168.67,E
Female,59,4,55.88,105.57,121.92,185.03,D
Female,73,0,71.16,81.72,121.63,181.09,DD
Female,57,4,55.88,69.75,121.92,184.0,A
Female,75,3,69.27,119.82,86.52,161.28,A
Female,84,3,61.26,114.36,112.29,150.67,AA
Female,55,4,60.25,83.35,117.31,151.33,DD
Female,66,4,83.7,81.21,100.85,154.91,C
Female,69,1,90.0,119.3,92.36,182.99,B
Female,87,1,90.46,105.72,117.55,176.03,F
Female,73,1,59.74,88.17,89.6,183.16,B
Female,67,2,86.23,76.96,104.11,164.4,DD
Female,70,3,59.56,81.17,121.92,154.84,F
Female,90,1,61.74,73.21,115.03,181.36,DD
Female,87,4,64.09,81.23,109.7,157.07,E
Female,58,3,102.46,115.74,111.15,152.23,D
Female,79,3,80.89,77.34,80.11,182.22,D
Female,74,1,55.88,90.8,107.77,158.3,A
Female,53,2,88.94,72.27,76.9,165.1,A
Female,57,1,71.5,119.31,112.36,189.32,D
Female,79,1,61.59,84.41,102.23,188.04,A
Female,73,3,100.23,104.16,102.18,167.49,F
Female,66,3,61.12,71.83,89.83,150.92,C
Female,82,1,72.29,107.92,105.83,147.32,AA
Female,90,2,74.04,74.9,112.14,175.28,F
Female,56,1,60.34,93.87,110.51,158.47,F
Female,41,4,97.01,107.23,117.51,191.31,DD
Female,50,4,65.11,84.88,110.58,195.99,AA
Female,56,3,79.5,91.33,112.06,179.67,C
Female,50,4,62.72,89.52,97.62,198.12,E
Female,55,1,64.11,69.69,117.27,170.58,AA
Female,58,4,77.7,95.45,112.98,148.64,B
Female,71,3,61.74,78.97,113.44,172.53,C
Female,73,2,60.18,110.75,121.92,152.22,F
Female,46,3,96.3,102.04,111.13,155.02,A
Female,113,1,56.9,64.11,84.01,180.68,C
Female,58,4,92.82,77.1,94.62,150.32,D
Female,53,4,91.74,85.82,82.91,171.88,DD
Female,67,2,71.91,84.52,108.93,178.18,B
Female,71,4,66.3,62.36,112.82,171.93,DD
Female,51,2,97.17,112.78,73.8,150.52,AA
Female,88,0,93.31,87.99,114.98,183.94,AA
Female,46,1,63.29,84.76,118.3,183.85,D
Female,54,2,75.97,90.51,89.84,175.07,E
Female,110,4,61.54,103.65,121.92,179.12,D
Female,56,0,55.88,62.08,80.28,148.2,AA
Female,79,4,64.01,79.84,111.48,167.65,B
Female,69,1,88.37,118.2,113.9,148.07,A
Female,79,3,55.88,89.45,88.07,147.32,A
Female,69,1,66.52,117.76,121.92,152.9,DD
Female,67,2,64.96,100.16,108.4,182.77,A
Female,68,0,63.81,87.75,90.61,193.86,A
Female,80,1,99.93,93.08,97.2,173.97,B
Female,53,4,59.05,117.94,115.43,147.82,DD
Female,71,4,67.35,106.78,104.82,151.17,F
Female,57,4,90.65,89.95,120.94,171.16,D
Female,60,4,62.34,62.52,78.5,188.74,E
Female,61,4,80.64,99.22,94.05,168.14,C
Female,89,0,60.98,61.2,116.12,192.04,C
Female,50,4,81.19,101.9,83.71,164.6,E
Female,52,3,61.95,68.52,88.49,190.77,B
Female,58,3,56.11,70.96,92.88,181.63,E
Female,73,3,58.47,106.68,110.24,172.42,AA
Female,78,4,74.65,79.44,79.99,184.15,F
Female,84,4,92.54,118.9,109.71,170.96,B
Female,47,4,63.19,90.37,114.92,171.17,A
Female,51,4,84.49,69.2,110.27,158.25,C
Female,84,4,58.54,81.73,107.59,172.43,AA
Female,81,4,60.86,90.98,94.1,151.96,F
Female,47,1,78.05,100.32,112.48,188.26,DD
Female,84,0,70.13,127.0,111.92,181.33,AA
Female,69,4,100.11,77.22,85.54,175.41,C
Female,85,0,67.28,83.85,100.94,178.05,D
Female,62,2,87.6,81.97,113.62,179.63,DD
Female,73,4,86.52,111.16,116.76,176.08,AA
Female,56,4,100.19,92.82,116.54,185.33,E
Female,87,3,71.74,103.92,96.65,188.94,E
Female,49,1,94.64,89.58,118.92,192.04,B
Female,98,1,96.06,116.35,93.91,162.61,F
Female,70,1,64.76,93.67,113.08,184.61,AA
Female,63,4,79.99,108.98,108.21,175.87,DD
Female,76,4,72.64,98.29,95.08,156.67,D
Female,62,0,63.51,91.79,116.81,189.7,A
Female,65,1,92.25,89.17,99.1,153.59,F
Female,71,3,58.24,96.56,107.77,160.86,AA
Female,63,1,58.71,110.32,88.12,156.6,A
Female,54,3,62.83,103.67,106.43,147.32,F
Female,41,3,62.98,87.99,114.46,165.67,A
Female,83,1,57.66,96.83,73.49,172.91,A
Female,47,4,55.88,95.29,86.08,185.34,A
Female,77,0,64.12,79.9,115.29,167.84,C
Female,78,1,94.88,118.1,85.9,196.68,AA
Female,68,3,63.22,80.93,107.81,153.91,E
Female,89,3,81.99,83.18,120.16,158.79,C
Female,61,1,58.12,89.66,94.49,165.62,AA
Female,74,1,66.9,95.26,96.07,147.32,B
Female,72,1,92.8,90.96,116.93,151.86,AA
Female,80,1,102.69,122.74,111.19,187.7,D
Female,59,1,62.64,101.66,112.35,153.33,DD
Female,58,4,81.42,106.75,80.94,188.19,A
Female,75,1,87.19,68.08,112.92,192.62,AA
Female,78,4,97.63,119.49,84.3,169.67,C
Female,86,1,97.87,84.98,114.45,188.68,A
Female,57,1,61.55,101.44,84.52,174.58,DD
Female,99,4,61.69,97.38,97.56,170.71,F
Female,78,1,60.19,83.42,118.41,184.43,A
Female,58,2,55.88,100.95,107.9,156.86,A
Female,80,1,60.12,82.3,114.43,171.42,A
Female,70,4,66.16,77.51,108.31,172.5,A
Female,46,2,66.75,94.5,108.71,159.77,D
Female,90,1,82.11,82.38,105.11,152.34,C
Female,56,1,57.12,112.64,109.52,172.92,AA
Female,88,4,76.07,103.25,119.17,173.37,E
Female,72,4,55.88,87.1,103.87,171.81,A
Female,91,2,63.16,109.55,114.02,154.41,C
Female,73,1,56.36,105.15,100.76,154.1,AA
Female,41,2,102.15,103.35,117.43,154.18,C
Female,72,4,105.9,89.85,114.13,165.97,E
Female,53,4,59.27,93.45,109.51,169.54,E
Female,117,0,55.88,69.7,106.2,163.2,E
Female,61,1,91.62,105.93,113.86,158.23,E
Female,87,4,89.12,73.41,90.31,177.33,B
Female,56,1,63.69,78.74,81.68,173.84,F
Female,84,4,68.95,76.46,97.57,179.21,A
Female,54,3,85.62,114.92,114.29,154.92,C
Female,97,4,62.85,108.95,113.67,172.61,F
Female,87,1,101.25,119.09,107.24,147.32,A
Female,56,3,68.21,84.59,105.73,149.15,D
Female,55,4,92.21,101.14,111.56,172.98,C
Female,67,1,70.95,100.82,103.08,157.36,F
Female,47,1,56.62,87.67,110.0,184.55,A
Female,74,4,78.09,67.22,108.67,165.14,C
Female,78,3,88.21,56.95,116.28,154.1,DD
Female,49,3,90.79,90.72,88.22,151.67,AA
Female,70,1,96.38,95.85,88.3,170.54,E
Female,75,3,74.23,90.93,110.7,172.28,AA
Female,66,0,95.49,82.95,114.06,147.32,C
Female,51,4,65.29,71.56,117.19,161.14,A
Female,70,4,94.16,92.39,118.38,167.18,F
Female,75,4,106.61,83.94,106.65,162.64,C
Female,56,1,85.75,95.95,118.62,161.22,AA
Female,71,1,88.27,101.18,115.72,148.09,D
Female,73,3,78.65,89.24,115.6,164.01,A
Female,65,1,60.29,66.19,102.37,159.99,DD
Female,43,4,91.69,62.74,119.22,176.73,F
Female,53,1,91.77,92.43,104.91,172.55,A
Female,44,4,60.58,81.86,71.12,180.59,A
Female,66,0,66.48,61.9,83.98,148.88,E
Female,61,3,62.13,91.65,88.97,179.13,AA
Female,60,4,78.0,79.29,81.44,154.94,DD
Female,68,1,65.24,124.05,98.91,166.27,B
Female,61,3,55.88,103.73,95.04,186.61,C
Female,69,1,55.88,94.34,116.88,148.63,A
Female,58,2,94.18,110.94,74.61,148.33,D
Female,71,3,95.55,70.59,82.75,158.95,E
Female,70,3,60.46,73.81,95.22,185.02,A
Female,74,1,61.66,76.73,111.12,153.09,A
Female,50,3,55.88,100.66,102.3,187.3,C
Female,72,1,95.73,79.6,108.01,178.82,D
Female,91,4,65.48,78.04,115.28,159.67,A
Female,73,2,63.35,91.04,107.38,165.24,E
Female,98,1,101.13,76.43,116.98,159.55,B
Female,115,3,55.88,77.12,114.14,158.91,F
Female,72,0,61.33,87.69,121.92,189.05,D
Female,70,4,72.67,82.75,81.87,165.12,A
Female,82,1,55.88,89.85,100.9,150.94,A
Female,51,4,105.17,103.46,118.96,170.71,B
Female,75,3,87.51,70.25,81.61,190.55,B
Female,91,4,79.8,90.39,109.65,176.08,E
Female,108,1,69.77,65.51,105.42,196.98,A
Female,100,1,66.1,73.23,113.75,153.25,A
Female,68,1,64.19,114.31,121.92,154.99,F
Female,72,3,55.88,117.02,79.93,190.16,D
Female,76,4,93.74,113.35,86.51,147.33,A
Female,67,4,80.89,70.15,116.0,188.44,AA
Female,48,4,57.17,77.92,111.51,185.28,C
Female,74,4,59.54,74.86,100.35,157.1,C
Female,55,1,93.33,89.36,111.14,186.47,F
Female,55,3,55.88,98.01,92.06,190.81,DD
Female,72,4,70.69,85.61,87.61,153.7,A
Female,57,4,55.95,76.47,92.4,158.11,A
Female,72,4,66.07,98.1,96.92,164.43,B
Female,54,1,91.31,100.72,121.92,189.7,DD
Female,68,1,102.63,94.58,116.12,174.31,F
Female,75,3,96.32,102.32,108.54,180.13,A
Female,51,4,59.27,96.31,81.76,153.61,F
Female,99,1,89.59,82.85,99.04,170.36,AA
Female,52,4,79.08,86.5,107.89,187.3,AA
Female,75,4,95.5,90.11,95.89,156.13,D
Female,64,1,63.93,106.0,104.24,154.07,B
Female,61,1,57.42,83.94,112.58,161.29,B
Female,44,2,60.43,85.93,104.38,151.64,F
Female,67,1,61.74,86.3,115.6,154.77,AA
Female,103,2,57.86,107.1,103.23,173.66,A
Female,58,2,66.59,102.94,115.03,187.98,AA
Female,91,1,64.15,97.34,115.77,173.54,F
Female,48,2,85.35,111.03,102.09,152.56,AA
Female,80,3,78.81,96.12,112.6,148.74,AA
Female,60,3,93.83,112.2,111.88,155.35,C
Female,65,4,68.57,80.06,105.7,158.71,F
Female,73,4,95.92,104.24,101.07,147.52,B
Female,53,0,65.01,119.12,120.31,170.87,AA
Female,86,2,67.43,103.23,79.41,178.08,E
Female,56,3,55.88,61.84,80.7,151.76,F
Female,58,4,72.54,105.65,117.21,168.38,AA
Female,58,4,62.28,86.07,119.91,154.97,DD
Female,78,1,75.42,100.15,113.62,180.37,C
Female,91,3,55.88,97.28,94.62,165.05,E
Female,62,2,58.56,106.49,110.19,152.51,A
Female,110,1,71.63,73.22,114.42,152.68,AA
Female,66,2,98.98,107.36,110.62,164.39,AA
Female,107,2,62.83,104.05,93.09,170.39,AA
Female,55,3,56.42,101.09,121.85,176.19,B
Female,61,4,85.64,116.28,110.72,147.32,DD
Female,56,1,63.85,88.57,117.29,181.45,E
Female,70,1,65.51,97.86,92.73,181.17,F
Female,80,2,91.7,109.29,108.11,150.4,D
Female,63,1,70.53,72.7,111.43,170.62,C
Female,52,4,95.15,78.24,100.7,158.18,AA
Female,78,3,59.08,89.27,119.0,167.02,D
Female,76,4,56.04,101.93,118.69,191.14,A
Female,79,0,68.86,68.27,121.92,190.32,F
Female,57,1,75.02,65.09,91.06,154.44,AA
Female,82,1,88.18,74.24,112.19,181.38,D
Female,52,2,65.23,87.37,90.75,174.08,B
Female,91,3,59.22,117.83,75.47,147.32,DD
Female,56,3,94.02,97.76,115.38,177.23,DD
Female,95,3,95.94,85.69,105.59,162.32,B
Female,50,4,97.75,94.7,105.64,180.74,F
Female,86,3,96.2,103.67,103.81,189.4,DD
Female,67,4,87.79,77.47,121.92,185.79,DD
Female,73,2,67.98,75.92,118.54,163.75,AA
Female,60,1,65.13,62.87,110.09,181.17,B
Female,45,1,76.43,108.67,114.1,180.59,DD
Female,64,1,90.95,103.02,115.35,181.71,F
Female,58,1,73.38,108.12,114.82,156.81,DD
Female,71,4,61.04,76.73,121.92,165.3,E
Female,72,2,66.71,82.63,87.75,163.44,F
Female,71,1,70.06,86.38,93.36,179.71,A
Female,82,1,68.49,77.37,106.43,187.33,AA
Female,61,0,91.26,84.88,119.09,153.18,C
Female,66,1,89.66,95.14,112.21,166.19,DD
Female,48,4,61.49,83.31,99.14,171.08,AA
Female,56,3,64.86,90.91,121.92,193.68,A
Female,109,4,60.94,82.37,99.4,179.1,D
Female,83,3,102.06,120.72,100.59,162.5,E
Female,72,1,84.46,113.72,103.73,176.27,A
Female,93,4,60.78,79.62,115.81,162.6,D
